Date,precio,ID,BRS,HAUNT,Wearables,Seller,Buyer,Date,Price
2021-03-02,3980.0,9124,523,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xad1decc60eb86b3c4db372d156bd1bb3a3edf1e2,0x86d43a2698bf69f39f5921e54c4052a2da86d879,2021-03-02,1.6107406546676593
2021-03-02,999.0,4263,515,1,"[78, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x0d2e911c371dc46404fe73a619c58075c8dbc915,0x019ed608dd806b80193942f2a960e7ac8abb2ee3,2021-03-02,1.6107406546676593
2021-03-02,400.0,1575,497,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x27b53099e9a2339748ab6d5ebf63ddbc181b93a2,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,2021-03-02,1.6107406546676593
2021-03-02,425.0,7330,477,1,"[0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x3bf6b896f2362214764120bdc6044e5b9fb4a048,0xacc227235ccab6c058b76600d4ec2e86072d0813,2021-03-02,1.6107406546676593
2021-03-02,3000.0,956,525,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xceec48581b3145a575508719f45da07dc57fa7ce,0xe81119bcf92fa4e9234690df8ad2f35896988a71,2021-03-02,1.6107406546676593
2021-03-02,1000.0,2300,522,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xceec48581b3145a575508719f45da07dc57fa7ce,0x75c32299da1395c5ba98c6e213f0deb1320a33cb,2021-03-02,1.6107406546676593
2021-03-02,333.0,7384,404,1,"[0, 0, 0, 90, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xa6cd4976bb57b96ffedb8709417ef57bd4812ba7,2021-03-02,1.6107406546676593
2021-03-02,2000.0,6942,520,1,"[78, 0, 0, 87, 83, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xd4d8564baace86315f02e91d1afd54a5979719e3,0x09c38351bbb481232e98c14b0d09f139dd01cd5d,2021-03-02,1.6107406546676593
2021-03-02,6000.0,9822,558,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xa250c120d516e4ffc06c6a40cc642caf3d89f6ed,0x75c32299da1395c5ba98c6e213f0deb1320a33cb,2021-03-02,1.6107406546676593
2021-03-02,500.0,2790,488,1,"[0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc194765f438294595eb4a620ca6d403f7c7e64c7,0x577182e41158ba340fd4934ad1fc24b011934a64,2021-03-02,1.6107406546676593
2021-03-02,777.0,7385,447,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0x17a3831b39cc557296d0c322f9c2d42c0b3a8f3f,2021-03-02,1.6107406546676593
2021-03-02,349.0,4658,483,1,"[0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc05cfb4fa62bb3c9df7ac65fe77d28345afa3485,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,2021-03-02,1.6107406546676593
2021-03-02,500.0,7386,437,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xff18298382948028f9d93c4e32be1382204022c8,2021-03-02,1.6107406546676593
2021-03-02,240.0,7387,393,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,2021-03-02,1.6107406546676593
2021-03-02,650.0,9036,505,1,"[68, 0, 0, 67, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x3bf6b896f2362214764120bdc6044e5b9fb4a048,0xacc227235ccab6c058b76600d4ec2e86072d0813,2021-03-02,1.6107406546676593
2021-03-02,1400.0,2774,529,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x25d5c9dbc1e12163b973261a08739927e4f72ba8,0xff620dbec8d0c7cfd69974662bfd910940cf766d,2021-03-02,1.6107406546676593
2021-03-02,400.0,9034,464,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x3bf6b896f2362214764120bdc6044e5b9fb4a048,0xff18298382948028f9d93c4e32be1382204022c8,2021-03-02,1.6107406546676593
2021-03-02,526.0,4231,509,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x34f2ac0dd90b768b382e981e50312333a7a1a69d,0x6157730c4f8e2092f601460b836530e3252b3120,2021-03-02,1.6107406546676593
2021-03-02,499.0,3990,477,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x40e952e47fe92cdef8751bc2ce7511d018665fe3,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,2021-03-02,1.6107406546676593
2021-03-02,5800.0,2575,475,1,"[0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x6fce63859a859a0f30ed09b12f5010d790618ca4,0x3477823dc687e24147494b910b367cc85298df8c,2021-03-02,1.6107406546676593
2021-03-02,490.0,3852,474,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xc6d84b7333ccf2db3362f5acd944da2dcc304d06,2021-03-02,1.6107406546676593
2021-03-02,685.0,3852,474,1,"[88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc6d84b7333ccf2db3362f5acd944da2dcc304d06,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,2021-03-02,1.6107406546676593
2021-03-02,850.0,6615,524,1,"[0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x0252e3524f4d28702b6b3ab7aa7c8eacaa9caf4d,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,2021-03-02,1.6107406546676593
2021-03-02,2000.0,9509,528,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc561c9b7035732b4ebdbae6ac43d6a293ab53896,0x75c32299da1395c5ba98c6e213f0deb1320a33cb,2021-03-02,1.6107406546676593
2021-03-02,522.0,3905,522,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xdef65ede44485c15f979bb0646f0b1ace71568c1,0xad91bae71e4569ec5ff09be170e223cc6b388ab0,2021-03-02,1.6107406546676593
2021-03-02,2000.0,2491,536,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xb1b6e377aa6ec6928a1d499ae58483b2b99658ec,0xd9d54f0f67fde251ab41ffb36579f308b592d905,2021-03-02,1.6107406546676593
2021-03-02,3999.0000000000005,2529,540,1,"[78, 0, 66, 67, 76, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x4b9c19ae685c58b535a1bab0fdd925875e71ec50,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,2021-03-02,1.6107406546676593
